sgamename,origin
deadislandryderwhite,19.98999977
guardiansofgraxiaplusmappack,5.989999771
overgrowth,29.98999977
hitmanabsolutioneliteedition,24.98999977
dungeonsanddragonsdaggerdale,7.489999771
alienscolonialmarines,14.98999977
warhammeriv0000killteam,9.989999771
doorwaysunderworld,9.989999771
rpgmakerscifibattlebacks,9.989999771
battleofeurope,9.989999771
ironcladtacticsbloodandironclads,4.989999771
warhammeriv0000spacemarinedreadnoughtdlc,9.989999771
ctspecialforcesfireforeffect,9.989999771
atlantisskypatrol,9.989999771
narcoterror,9.989999771
theatreofabsurd,4.989999771
buildalotivpowersource,2.49000001
alienscolonialmarinesseasonpass,29.98999977
patricianivriseofadynasty,19.98999977
trainzsimulatoriiicoronationscot,9.989999771
commandosiiidestinationberlin,3.99000001
viiviii0moon,3.99000001
otttd,9.989999771
testamentofsherlockholmes,19.98999977
dungeonsdragonsdaggerdale,14.98999977
mechanicescape,4.989999771
doomclassiccomplete,14.98999977
takedownredsabre,4.989999771
demonicondarkeye,39.99000168
doorwayschaptersitoiiicollection,15.98999977
orbitalgearivpack,29.98999977
expendablesiivideogame,14.98999977
talismandigitaleditionfourpack,44.99000168
parkanii,4.989999771
ridetohellretribution,29.98999977
redfactioncollection,59.99000168
sacrifice,9.989999771
riseniiititanlords,49.99000168
massiveassaultphantomrenaissance,9.989999771
assassinscreediideluxeedition,19.98999977
binarydomainmultiplayermappack,1.99000001
fiii0iiii,49.99000168
wallaceandgromitsgrandadventures,19.98999977
fromdepths,19.98999977
jaggedallianceflashback,29.98999977
takedownredsabrefourpack,14.98999977
stormfrontlinenation,9.989999771
pickers,9.989999771
crazymachinesiiinvadersfromspace,2.99000001
kingscrusadecollection,19.98999977
realworldracingivpack,29.98999977
sniperelite,9.989999771
thunderwolves,9.989999771
wormsrevolution,14.98999977
millenniumiiicrywolf,5.989999771
krissx,4.989999771
quantumconundrumseasonpass,9.989999771
ridgeracerunbounded,9.989999771
hitmanbloodmoney,8.989999771
afterfallinsanitydirtyarenaedition,0.99000001
maxpayneiii,19.98999977
heavybullets,9.989999771
glacieriiimeltdown,9.989999771
foreignlegionmultimassacrefourpack,19.98999977
zombietycooniibrainhovsrevenge,9.989999771
thiefcollection,44.99000168
agameofthronesgenesis,19.98999977
exodusfromearth,14.98999977
mxgpofficialmotocrossvideogame,39.99000168
edge,7.989999771
fiii0iii,24.98999977
vampiremasqueradebloodlines,19.98999977
shipsimulatorextremescollection,29.98999977
questrun,8.989999771
viiwondersmagicalmysterytour,6.989999771
disciplesiiiresurrection,19.98999977
deepfritziivdlc,19.98999977
saintsrowthirdfullpackage,19.98999977
magickawizardwarsfounderwizardpack,19.98999977
batmanarkhamcitygameofyearedition,19.98999977
saintsrowfranchisepack,79.98999786
warlockmasterofarcane,19.98999977
mountbladewarband,19.98999977
simsiiiseasons,19.98999977
xpandrallyxtreme,4.989999771
chaosengineiipack,16.98999977
darkesthouraheartsofirongame,9.989999771
darksoulsiiseasonpass,24.98999977
defendersofardania,9.989999771
totalwarshoguniifallofsamurai,29.98999977
heavybulletsepsoundtrack,2.99000001
citiesinmotioniicollection,39.99000168
rambovideogame,39.99000168
orb,4.989999771
neverwinterknightoffeywildpack,59.99000168
hegemonyromeriseofcaesar,29.98999977
