,diana,clara,pearson -> clara,k-medoids,ID
totalwarshoguniifallofsamuraicollection,6,11,16,0,1330
towerwarsfriendpack,2,7,5,0,1331
towerwarsteampack,2,7,5,0,1332
towtrucksimulatorii0iv,2,7,10,0,1333
tradewindscaravans,3,3,3,0,1334
trainzsimulatoriii,1,14,13,0,1335
trainzsimulatoriiicoronationscot,2,7,12,0,1336
trainzsimulatoriiiprrti,1,8,10,0,1337
transformersfallofcybertron,9,17,17,0,1338
transformersfallofcybertronmassivefurypack,9,17,17,0,1339
transformersriseofdarkspark,3,3,3,0,1340
transformerswarforcybertron,1,14,12,0,1341
transistor,7,13,16,0,1342
trappeddead,1,16,9,0,1343
treasuresofmontezumaiv,5,16,15,0,1344
trialsevolutiongoldedition,7,15,14,0,1345
trialsfusion,1,1,1,0,1346
trialsfusiondeluxeedition,5,16,15,0,1347
trialsfusionseasonpass,2,7,13,0,1348
trijinx,3,3,3,0,1349
trinecompletecollection,1,12,1,0,1350
trineii,1,8,13,0,1351
trineiicompletestoryiiipack,1,1,9,0,1352
tropicoiii,2,2,5,0,1353
tropicoiiiabsolutepower,1,8,10,0,1354
tropicoiiigoldedition,1,8,10,0,1355
tropicoiv,1,8,4,0,1356
tropicoivcollectorsbundle,2,8,10,0,1357
tropicoreloaded,6,11,16,0,1358
tropicotrilogy,2,2,2,0,1359
tropicov,5,16,15,0,1360
tropicoviipack,5,16,15,0,1361
tropicovivpack,5,16,15,0,1362
truckracer,1,12,1,0,1363
tryst,1,12,1,0,1364
trystivpack,6,11,14,0,1365
trystpremiumedition,6,11,14,0,1366
twinsector,1,1,9,0,1367
twotribesbundle,1,1,1,0,1368
twotribesclassicspack,4,9,11,0,1369
twoworldsii,1,8,10,0,1370
twoworldsiicastledefense,2,2,2,0,1371
twoworldsiipiratesofflyingfortress,1,6,4,0,1372
twoworldsiivelvetedition,1,8,10,0,1373
tycooncitynewyork,1,8,13,0,1374
typerider,1,6,9,0,1375
typingofdeadoverkill,2,2,5,0,1376
typingofdeadthoufilthylovecollection,6,11,2,0,1377
ufoafterlight,6,11,2,0,1378
ufoaftermath,5,16,15,0,1379
ufoaftershock,1,16,9,0,1380
ufoextraterrestrialsgold,8,13,17,0,1381
ultrastreetfighteriv,3,3,3,0,1382
ultrastreetfighterivupgrade,3,3,3,0,1383
undergarden,6,11,16,0,1384
unityofcommandtrilogybundle,5,16,15,0,1385
unstoppablegorg,2,2,2,0,1386
unwellmel,3,3,3,0,1387
urbanchaos,2,2,2,0,1388
vampiremasqueradebloodlines,7,15,14,0,1389
velvetassassin,1,8,13,0,1390
verticaldropheroeshd,3,3,3,0,1391
vertiginousgolf,2,2,12,0,1392
victoriacollection,7,15,14,0,1393
victoriaii,2,7,12,0,1394
victoriaiiaheartofdarkness,2,2,5,0,1395
victoriaiiahousedivided,1,6,9,0,1396
viiwondersii,1,8,13,0,1397
viiwondersmagicalmysterytour,2,2,5,0,1398
viiwondersofancientworld,2,2,5,0,1399
viiwonderstreasuresofseven,2,2,2,0,1400
vikingbattleforasgard,2,2,2,0,1401
vikingbrothers,1,1,9,0,1402
vikingsandrosesunleashwarpack,3,3,3,0,1403
virtuatennisiv,1,8,12,0,1404
viviiiviiiihunterkiller,1,12,9,0,1405
void,7,13,17,0,1406
voodoowhisperercurseofalegend,1,1,1,0,1407
walkingdead,2,2,2,0,1408
walkingdeadiv00days,6,11,16,0,1409
walkingdeadsurvivalinstinct,2,7,12,0,1410
wallaceandgromitsgrandadventures,1,1,1,0,1411
warehouseandlogisticssimulator,2,7,12,0,1412
warfare,7,15,17,0,1413
warforoverworldbedrockbeta,1,12,19,0,1414
warforoverworldunderlordedition,2,7,10,0,1415
wargameairlandbattle,1,6,9,0,1416
wargameeuropeanescalation,1,6,15,0,1417
wargamefranchisepack,1,1,9,0,1418
wargamereddragon,1,8,13,0,1419
warhammeriv0000dawnofwarii,2,8,12,0,1420
warhammeriv0000dawnofwariichaosrising,2,2,2,0,1421
warhammeriv0000dawnofwariigrandmastercollection,4,4,7,0,1422
warhammeriv0000dawnofwariimastercollection,6,11,16,0,1423
warhammeriv0000dawnofwariiretribution,2,2,2,0,1424
warhammeriv0000dawnofwariiretributioncompletedlccollection,6,11,16,0,1425
warhammeriv0000dawnofwarmastercollection,4,4,7,0,1426
warhammeriv0000killteam,5,16,15,0,1427
warhammeriv0000spacemarine,2,2,2,0,1428
warhammeriv0000spacemarinedeathguardchampionchapterpackdlc,6,11,16,0,1429
warhammeriv0000spacemarinedreadnoughtdlc,6,11,16,0,1430
warhammeriv0000spacemarineironhandschapterpackdlc,6,11,16,0,1431
warlockiiexiled,2,2,5,0,1432
warlockiiexiledlordedition,2,2,2,0,1433
warlockmasterofarcane,2,7,12,0,1434
warofroses,9,13,14,0,1435
warofroseskingmaker,1,8,10,0,1436
warofroseskingmakerfourpack,2,2,5,0,1437
warofvikingsbloodeagleedition,8,13,17,0,1438
warofvikingsivpack,1,12,13,0,1439
warriorkings,4,4,7,0,1440
warriorkingsbattles,4,4,7,0,1441
wastelandangel,1,8,13,0,1442
watchdogs,14,18,17,0,1443
watchdogsdigitaldeluxeedition,3,3,3,0,1444
watchdogsseasonpass,3,3,3,0,1445
waves,1,5,9,0,1446
wavessoundtrack,3,3,3,0,1447
westward,3,3,3,0,1448
whereangelscry,2,7,10,0,1449
whisperingwillows,4,9,11,0,1450
whitehavenmysteries,1,1,1,0,1451
wildlifeparkiii,5,10,15,0,1452
wildlifeparkiimarineworld,3,3,3,0,1453
wingsovereurope,5,4,8,0,1454
witcherenhancededitiondirectorscut,2,8,10,0,1455
witcheriiiwildhunt,3,3,3,0,1456
wolfamongus,7,13,14,0,1457
wolfensteiniiid,7,15,14,0,1458
wolfensteinneworder,6,15,16,0,1459
woodensensey,1,12,13,0,1460
worldinconflictcompleteedition,6,11,16,0,1461
worldinconflictsovietassault,2,2,2,0,1462
worldofanimalspetsnpalscollection,2,7,13,0,1463
worldofzoo,6,11,14,0,1464
worldwariiiblackgold,2,2,5,0,1465
worldwariipanzerclaws,2,2,5,0,1466
worms,1,1,4,0,1467
wormsclanwars,1,8,13,0,1468
wormscrazygolf,1,1,4,0,1469
wormscrazygolffunpack,6,11,16,0,1470
wormsrevolution,2,2,2,0,1471
wormsrevolutionivpack,2,8,10,0,1472
wormsrevolutionseasonpass,6,11,16,0,1473
wormsultimatemayhem,1,5,19,0,1474
wrcivfiaworldrallychampionship,1,6,9,0,1475
wrcpowerslide,8,13,17,0,1476
xblades,1,8,4,0,1477
xcomenemyunknown,1,14,10,0,1478
xcomenemyunknownelitesoldierpack,6,11,16,0,1479
xcomenemywithin,7,15,14,0,1480
xiiicenturygoldedition,3,3,3,0,1481
xiiiterranconflict,2,2,2,0,1482
xiiiterranwarpack,1,1,4,0,1483
xpandrallyxtreme,5,5,7,0,1484
xrebirth,12,17,17,0,1485
xsuperbox,6,11,14,0,1486
yarsrevenge,2,8,10,0,1487
yesterday,1,6,9,0,1488
z,4,9,11,0,1489
zambbiomutantextermination,4,9,6,0,1490
zeit,2,2,2,0,1491
zenoclash,2,7,5,0,1492
zombiebowlorama,2,7,12,0,1493
zombiesolitaire,4,9,11,0,1494
zombietycooniibrainhovsrevenge,2,2,5,0,1495
zombietycooniibrainhovsrevengetwopack,6,11,16,0,1496
